election_date,anc,name
1979-11-06,1A01,No candidate
1979-11-06,1A02,No candidate
1979-11-06,1A03,Marion C.Williams
1981-11-03,1A01,No candidate
1981-11-03,1A02,Roman Bukowinsky
1981-11-03,1A03,No candidate
1984-11-06,1A01,Aurelia Corbett King
1984-11-06,1A02,Roman Bukowinsky
1984-11-06,1A03,No candidate
1986-11-04,1A01,No candidate
1986-11-04,1A02,Joyce F. Jordan
1986-11-04,1A03,Elizabeth McIntire
1988-11-08,1A01,Aurelia Corbett King
1988-11-08,1A02,Antonio (Tony) Montes
1988-11-08,1A03,Elizabeth McIntire
1990-11-06,1A01,Maurice Jackson
1990-11-06,1A02,Antonio (Tony) Montes
1990-11-06,1A03,Elizabeth McIntire
1992-11-03,1A01,Pauline Accra
1992-11-03,1A02,Vivian E. Brown
1992-11-03,1A03,Elizabeth McIntire
1994-11-08,1A01,Pauline Accra
1994-11-08,1A02,Vivian E. Brown
1994-11-08,1A03,Elizabeth McIntire
1996-11-05,1A01,Perry L. Johnson
1996-11-05,1A02,No candidate
1996-11-05,1A03,Elizabeth McIntire
1998-11-03,1A01,DeKontee L. Johnson
1998-11-03,1A02,No candidate
1998-11-03,1A03,Elizabeth McIntire
2000-11-07,1A01,No candidate
2000-11-07,1A02,Josephine L Nelson
2000-11-07,1A03,Elizabeth McIntire
2002-11-05,1A01,Jacqueline C. Arguelles
2002-11-05,1A02,Angela S. Nance
2002-11-05,1A03,Victor H. Gonzalez
2004-11-02,1A01,Jacqueline C. Arguelles
2004-11-02,1A02,"Calvin B. Woodland, Jr."
2004-11-02,1A03,Alexander Hogan
2006-11-07,1A01,Jacqueline C. Arguelles
2006-11-07,1A02,"Calvin B. Woodland, Jr."
2006-11-07,1A03,Alexander Hogan
2008-11-04,1A01,Lisa Kralovic
2008-11-04,1A02,"Calvin B. Woodland, Jr."
2008-11-04,1A03,Luis A. Morales
2010-11-02,1A01,Lisa Kralovic
2010-11-02,1A02,Vickey A. Wright-Smith
2010-11-02,1A03,Sheldon Scott
2012-11-06,1A01,Lisa Kralovic
2012-11-06,1A02,Vickey A. Wright-Smith
2012-11-06,1A03,Steve Swank
1979-11-06,1A04,Elona Evans-McNeill
1979-11-06,1A05,No candidate
1979-11-06,1A06,No candidate
1981-11-03,1A04,Elona Evans-McNeill
1981-11-03,1A05,No candidate
1981-11-03,1A06,Marietta Smith
1984-11-06,1A04,Oscar Mosley
1984-11-06,1A05,Marietta Smith
1984-11-06,1A06,No candidate
1986-11-04,1A04,No candidate
1986-11-04,1A05,Marietta Smith
1986-11-04,1A06,Leonard Patterson
1988-11-08,1A04,Eric B. Graye
1988-11-08,1A05,Tedd Miller
1988-11-08,1A06,Shelore C. Williams
1990-11-06,1A04,Mack A. James
1990-11-06,1A05,Tedd Miller
1990-11-06,1A06,Shelore C. Williams
1992-11-03,1A04,Mack A. James
1992-11-03,1A05,Joan Mayes Gillison
1992-11-03,1A06,Shelore C. Williams
1994-11-08,1A04,Mack A. James
1994-11-08,1A05,Joan Mayes Gillison
1994-11-08,1A06,Shelore C. Williams
1996-11-05,1A04,Mack A. James
1996-11-05,1A05,No candidate
1996-11-05,1A06,Leonard J. Kelly
1998-11-03,1A04,Mack A. James
1998-11-03,1A05,Eleanor Hudgins-Jordan
1998-11-03,1A06,Valerie Sigwalt
2000-11-07,1A04,Mack A. James
2000-11-07,1A05,Ken Dean
2000-11-07,1A06,Eric Heard
2002-11-05,1A04,Mack A. James
2002-11-05,1A05,Elizabeth McIntire
2002-11-05,1A06,Jenna J. Moheyer
2004-11-02,1A04,Mack A. James
2004-11-02,1A05,Anne Theisen
2004-11-02,1A06,Jenna J. Moheyer
2006-11-07,1A04,Betty Pair
2006-11-07,1A05,Anne Theisen
2006-11-07,1A06,Samuel Johnson
2008-11-04,1A04,Betty Pair
2008-11-04,1A05,William H. Jordan
2008-11-04,1A06,Sam Johnson
2010-11-02,1A04,Betty Pair
2010-11-02,1A05,Laina Aquiline
2010-11-02,1A06,"William Brown, Jr."
2012-11-06,1A04,Laina Aquiline
2012-11-06,1A05,Kevin Holmes
2012-11-06,1A06,Patrick W. Flynn
1979-11-06,1A07,No candidate
1979-11-06,1A08,Jerry S. Cooper
1979-11-06,1A09,No candidate
1981-11-03,1A07,No candidate
1981-11-03,1A08,No candidate
1981-11-03,1A09,No candidate
1984-11-06,1A07,Omar Dasent
1984-11-06,1A08,Monroe A. Bethea
1984-11-06,1A09,Clarence (Buddy) Moore
1986-11-04,1A07,"Lewis A. Jones, Sr."
1986-11-04,1A08,Monroe A. Bethea
1986-11-04,1A09,No candidate
1988-11-08,1A07,Dexter Frost
1988-11-08,1A08,Monroe A. Bethea
1988-11-08,1A09,Jeanette C. Martin
1990-11-06,1A07,John Kerr
1990-11-06,1A08,Benjamin Peasant
1990-11-06,1A09,Chandler R. Clary
1992-11-03,1A07,Beverley R. Wheeler
1992-11-03,1A08,Anna A. Bowman
1992-11-03,1A09,Marie Whitfield
1994-11-08,1A07,Reginald Maultsby
1994-11-08,1A08,Anna A. Bowman
1994-11-08,1A09,Marie Whitfield
1996-11-05,1A07,Reginald Maultsby
1996-11-05,1A08,Anna A. Bowman
1996-11-05,1A09,Marie Whitfield
1998-11-03,1A07,John K.A. Nyarku
1998-11-03,1A08,Phyllis E. Davis
1998-11-03,1A09,Marie Whitfield
2000-11-07,1A07,"John D. Thomas, Jr."
2000-11-07,1A08,Regina Upchurch
2000-11-07,1A09,Marie Whitfield
2002-11-05,1A07,Janie Boyd
2002-11-05,1A08,Charles E. Matiella
2002-11-05,1A09,Marie Whitfield
2004-11-02,1A07,Ali Muhammad
2004-11-02,1A08,Janisha N. Richardson
2004-11-02,1A09,Lisa Eady
2006-11-07,1A07,Larry E. Ray
2006-11-07,1A08,Janisha N. Richardson
2006-11-07,1A09,Donny Gonzalez
2008-11-04,1A07,Larry E. Ray
2008-11-04,1A08,Cliff Valenti
2008-11-04,1A09,LaKeisha G. Thomas
2010-11-02,1A07,Thomas Boisvert
2010-11-02,1A08,Kent Boese
2010-11-02,1A09,Bobby Holmes
2012-11-06,1A07,Thomas Boisvert
2012-11-06,1A08,Kent C. Boese
2012-11-06,1A09,Bobby Holmes
1979-11-06,1A10,No candidate
1979-11-06,1A11,Monroe A. Bethea
1979-11-06,1A12,"Absalom F. Jordan, Sr."
1981-11-03,1A10,No candidate
1981-11-03,1A11,No candidate
1981-11-03,1A12,No candidate
1984-11-06,1A10,No candidate
1984-11-06,1A11,No candidate
1984-11-06,1A12,No candidate
1986-11-04,1A10,Rosalie Foster
1986-11-04,1A11,No candidate
1986-11-04,1A12,No candidate
1988-11-08,1A10,Rosalie Foster
1988-11-08,1A11,No candidate
1988-11-08,1A12,No candidate
1990-11-06,1A10,Rosalie Foster
1990-11-06,1A11,No candidate
1990-11-06,1A12,No candidate
1992-11-03,1A10,Lenwood Johnson
1994-11-08,1A10,Lenwood Johnson
1996-11-05,1A10,Julio M. Perez
1998-11-03,1A10,Lenwood Johnson
2000-11-07,1A10,Lenwood Johnson
2000-11-07,1A11,No candidate
2002-11-05,1A10,Lenwood Johnson
2002-11-05,1A11,Evette Suesbury-McDowell
2004-11-02,1A10,Lenwood Johnson
2004-11-02,1A11,No candidate
2006-11-07,1A10,Lenwood Johnson
2006-11-07,1A11,Dottie Love Wade
2008-11-04,1A10,Lenwood Johnson
2008-11-04,1A11,Dottie Love Wade
2010-11-02,1A10,Lenwood Johnson
2010-11-02,1A11,No candidate
2012-11-06,1A10,Anthony Cimino
2012-11-06,1A11,Dotti Love Wade
2012-11-06,1A12,Rosalind M. Gilliam
1979-11-06,1B01,E. Kathleen Shaham
1979-11-06,1B02,No candidate
1979-11-06,1B03,"Joseph Jorgens, III"
1981-11-03,1B01,No candidate
1981-11-03,1B02,No candidate
1981-11-03,1B03,Stanley J. Mayes
1984-11-06,1B01,Jerome J. Davis
1984-11-06,1B02,Stanley J. Mayes
1984-11-06,1B03,Patricia A. Smith
1986-11-04,1B01,Jerome J. Davis
1986-11-04,1B02,Stanley J. Mayes
1986-11-04,1B03,Patricia A. Smith
1988-11-08,1B01,Deairich R. Hunter
1988-11-08,1B02,Stanley J. Mayes
1988-11-08,1B03,"M.A. ""Doll"" Fitzgerald"
1990-11-06,1B01,Muriel L. Martin
1990-11-06,1B02,Stanley J. Mayes
1990-11-06,1B03,"M.A. ""Doll"" Fitzgerald"
1992-11-03,1B01,Tom Coumaris
1992-11-03,1B02,"W. Norman Wood, Jr."
1992-11-03,1B03,"M.A. ""Doll"" Fitzgerald"
1994-11-08,1B01,Tom Coumaris
1994-11-08,1B02,"W. Norman Wood, Jr."
1994-11-08,1B03,"M.A. ""Doll"" Fitzgerald"
1996-11-05,1B01,Tom Coumaris
1996-11-05,1B02,Glenn L. Melcher
1996-11-05,1B03,"M.A. ""Doll"" Fitzgerald"
1998-11-03,1B01,Tom Coumaris
1998-11-03,1B02,Glenn L. Melcher
1998-11-03,1B03,"M.A. ""Doll"" Fitzgerald"
2000-11-07,1B01,Alex Wilson
2000-11-07,1B02,Glenn L. Melcher
2000-11-07,1B03,"M.A. ""Doll"" Fitzgerald"
2002-11-05,1B01,"Lawrency T. Guyot, Jr. Philip C. Spalding"
2002-11-05,1B02,Catherine Hammonds
2004-11-02,1B01,Myla Moss
2004-11-02,1B02,Philip C. Spalding
2004-11-02,1B03,Catherine Hammonds
2006-11-07,1B01,Myla Moss
2006-11-07,1B02,Philip C. Spalding
2006-11-07,1B03,Catherine Hammonds
2008-11-04,1B01,Myla Moss
2008-11-04,1B02,"Peter John Raia, Sr."
2008-11-04,1B03,Sedrick Muhammad
2010-11-02,1B01,Myla Moss
2010-11-02,1B02,Aaron Spencer
2010-11-02,1B03,Sedrick Muhammad
2012-11-06,1B01,Marc Morgan
2012-11-06,1B02,Jeremy C. Leffler
2012-11-06,1B03,Sedrick Muhammad
1979-11-06,1B04,No candidate
1979-11-06,1B05,Anwar S. Saleem
1979-11-06,1B06,No candidate
1981-11-03,1B04,Edna Frazier-Cromwell
1981-11-03,1B05,Anwar S. Saleem
1981-11-03,1B06,David R. Parker
1984-11-06,1B04,Norman Wood
1984-11-06,1B05,David R. Parker
1984-11-06,1B06,Theresa F. Brown
1986-11-04,1B04,"W. Norman Wood, Jr."
1986-11-04,1B05,David R. Parker
1986-11-04,1B06,Theresa F. Brown
1988-11-08,1B04,"W. Norman Wood, Jr."
1988-11-08,1B05,"Lawrence T. Guyot, Jr."
1988-11-08,1B06,Theresa F. Brown
1990-11-06,1B04,"W. Norman Wood, Jr."
1990-11-06,1B05,"Lawrence T. Guyot, Jr."
1990-11-06,1B06,Theresa F. Brown
1992-11-03,1B04,"Lawrence T. Guyot, Jr."
1992-11-03,1B05,Lamar Jackson
1992-11-03,1B06,Seretha R. Pearsall
1994-11-08,1B04,"Lawrence T. Guyot, Jr."
1994-11-08,1B05,No candidate
1994-11-08,1B06,Seretha R. Pearsall
1996-11-05,1B04,"Lawrence T. Guyot, Jr."
1996-11-05,1B05,Nik Eames
1996-11-05,1B06,Jonathan Hutto
1998-11-03,1B04,"Lawrence T. Guyot, Jr."
1998-11-03,1B05,Nik Eames
1998-11-03,1B06,"Sinclair ""Nupe"" Skinner"
2000-11-07,1B04,"Lawrence T. Guyot, Jr."
2000-11-07,1B05,Nik Eames
2000-11-07,1B06,"Sinclair ""Nupe"" Skinner"
2002-11-05,1B04,Deborah R. Thomas
2002-11-05,1B05,Jarvis Houston
2002-11-05,1B06,"Theodore ""Ted"" Butler"
2004-11-02,1B04,Dee Hunter
2004-11-02,1B05,Mike Smith
2004-11-02,1B06,Timothy J. Stephens
2006-11-07,1B04,Dee Hunter
2006-11-07,1B05,Brianne K. Nadeau
2006-11-07,1B06,Meghan Conklin
2008-11-04,1B04,Deborah R. Thomas
2008-11-04,1B05,Brianne K. Nadeau
2008-11-04,1B06,Meghan Conklin
2010-11-02,1B04,Deborah R. Thomas
2010-11-02,1B05,Mary M. Streett
2010-11-02,1B06,Charles Meisch
2012-11-06,1B04,Deborah R. Thomas
2012-11-06,1B05,Ricardo A. Reinoso
2012-11-06,1B06,Dyana Forester
1979-11-06,1B07,Theresa F. Brown
1979-11-06,1B08,No candidate
1979-11-06,1B09,Lillian Tymus
1981-11-03,1B07,Theresa F. Brown
1981-11-03,1B08,No candidate
1981-11-03,1B09,Lillian Tymus
1984-11-06,1B07,Carl Robinson
1984-11-06,1B08,Darren Richard Jones
1984-11-06,1B09,"James Roy Smith, Sr."
1986-11-04,1B07,Mike Benoit
1986-11-04,1B08,Darren Richard Jones
1986-11-04,1B09,"James Roy Smith, Sr."
1988-11-08,1B07,Milton W. Collier
1988-11-08,1B08,Barbara Manget Taylor
1988-11-08,1B09,Phyllis Stewart-Thompson
1990-11-06,1B07,Juliett Marsh
1990-11-06,1B08,Carl Robinson
1990-11-06,1B09,Phyllis Stewart-Thompson
1992-11-03,1B07,Anne G. Bennett
1992-11-03,1B08,Phyllis Stewart-Thompson
1992-11-03,1B09,Catherine Hammonds
1994-11-08,1B07,Anne G. Bennett
1994-11-08,1B08,Byron A. Hobbs
1994-11-08,1B09,Catherine Hammonds
1996-11-05,1B07,Jan Gray
1996-11-05,1B08,Gary Imhoff
1996-11-05,1B09,Catherine Hammonds
1998-11-03,1B07,Charles E. Glover
1998-11-03,1B08,Gary Imhoff
1998-11-03,1B09,Catherine Hammonds
2000-11-07,1B07,Charles E. Glover
2000-11-07,1B08,"Calvin B. Woodland, Jr."
2000-11-07,1B09,Catherine Hammonds
2002-11-05,1B07,Sertira A. Wilson
2002-11-05,1B08,Charles E. Glover
2002-11-05,1B09,"Sinclair ""Nupe"" Skinner"
2004-11-02,1B07,Lori Parker
2004-11-02,1B08,Rosemary T. Akinmboni
2004-11-02,1B09,Thomas K.D. Smith
2006-11-07,1B07,Zachary Wright
2006-11-07,1B08,Rosemary Akinmboni
2006-11-07,1B09,Thomas K.D. Smith
2008-11-04,1B07,Juan E. Lopez
2008-11-04,1B08,Rosemary Akinmboni
2008-11-04,1B09,Thomas K. D Smith
2010-11-02,1B07,Juan E. Lopez
2010-11-02,1B08,Ahnna Smith
2010-11-02,1B09,Lauren McKenzie
2012-11-06,1B07,Juan E. Lopez
2012-11-06,1B08,Emily Washington
2012-11-06,1B09,James A. Turner
1979-11-06,1B10,No candidate
1979-11-06,1B11,Dotti Wade
1979-11-06,1B12,No candidate
1981-11-03,1B10,No candidate
1981-11-03,1B11,No candidate
1981-11-03,1B12,James W. Curry
1984-11-06,1B10,Catherine Hammonds
1984-11-06,1B11,No candidate
1984-11-06,1B12,J. Tony Jones
1986-11-04,1B10,Catherine Hammonds
1986-11-04,1B11,James Washington
1986-11-04,1B12,J. Tony Jones
1988-11-08,1B10,Catherine Hammonds
1988-11-08,1B11,William A. Bowman
1988-11-08,1B12,J. Tony Jones
1990-11-06,1B10,Catherine Hammonds
1990-11-06,1B11,Mary Treadwell
1990-11-06,1B12,J. Tony Jones
1992-11-03,1B10,Mary Treadwell
1992-11-03,1B11,J. Tony Jones
1992-11-03,1B12,"Reese W. James, II"
1994-11-08,1B10,Mary Treadwell
1994-11-08,1B11,J. Tony Jones
1994-11-08,1B12,Ida Lowe Blocker
