election_date,office,name,party,final_reason
1971-03-23,Delegate to the US House of Representatives,Walter E. Fauntroy,D,
1972-11-07,Delegate to the US House of Representatives,Walter E. Fauntroy,D,
1974-11-04,Delegate to the US House of Representatives,Walter E. Fauntroy,D,
1976-11-02,Delegate to the US House of Representatives,Walter E. Fauntroy,D,
1978-11-07,Delegate to the US House of Representatives,Walter E. Fauntroy,D,
1980-11-04,Delegate to the US House of Representatives,Walter E. Fauntroy,D,
1982-11-02,Delegate to the US House of Representatives,Walter E. Fauntroy,D,
1984-11-06,Delegate to the US House of Representatives,Walter E. Fauntroy,D,
1986-11-04,Delegate to the US House of Representatives,Walter E. Fauntroy,D,
1988-11-08,Delegate to the US House of Representatives,Walter E. Fauntroy,D,Ran for Mayor and was defeated in Primary 1990-09-11
1990-11-06,Delegate to the US House of Representatives,Eleanor Holmes Norton,D,
1992-11-03,Delegate to the US House of Representatives,Eleanor Holmes Norton,D,
1994-11-08,Delegate to the US House of Representatives,Eleanor Holmes Norton,D,
1996-11-05,Delegate to the US House of Representatives,Eleanor Holmes Norton,D,
1998-11-03,Delegate to the US House of Representatives,Eleanor Holmes Norton,D,
2000-11-07,Delegate to the US House of Representatives,Eleanor Holmes Norton,D,
2002-11-02,Delegate to the US House of Representatives,Eleanor Holmes Norton,D,
2004-11-02,Delegate to the US House of Representatives,Eleanor Holmes Norton,D,
2006-11-07,Delegate to the US House of Representatives,Eleanor Holmes Norton,D,
2008-11-04,Delegate to the US House of Representatives,Eleanor Holmes Norton,D,
1974-11-05,Mayor of the District of Columbia,Walter E. Washington,D,Ran for re-election and was defeated in Primary 1978-09-12
1978-11-07,Mayor of the District of Columbia,"Marion Barry, Jr.",D,
1982-11-02,Mayor of the District of Columbia,"Marion Barry, Jr.",D,
1986-11-04,Mayor of the District of Columbia,"Marion Barry, Jr.",D,Did not seek re-election
1990-11-06,Mayor of the District of Columbia,Sharon Pratt Dixon,D,Defeated in re-election was defeated in Primary 1994-09-13
1994-11-08,Mayor of the District of Columbia,"Marion Barry, Jr.",D,Did not seek re-election
1998-11-03,Mayor of the District of Columbia,Anthony A. Williams,D,
2002-11-07,Mayor of the District of Columbia,Anthony A. Williams,D,Did not seek re-election
2006-11-07,Mayor of the District of Columbia,Adrian Fenty,D,Defeated in re-election was defeated in Primary 2010-09-14
2010-11-02,Mayor of the District of Columbia,Vincent C. Gray,D,
1974-11-05,Chairman of the Council of the District of Columbia,Sterling Tucker,D,Ran for Mayor and was defeated in Primary 1978-11-07
1978-11-07,Chairman of the Council of the District of Columbia,Arrington Dixon,D,Defeated in Primary 1982-09-14
1982-11-02,Chairman of the Council of the District of Columbia,David A. Clarke,D,
